date;time;height;x;y;temp
01.01.2015;12:10:45.40;20,5;-62,81;18,44;-18,5
01.01.2015;12:20:58.40;20,5;-46,19;-7,37;-18,5
01.01.2015;12:21:10.55;20,5;-43,48;-19,17;-18,5
01.01.2015;12:31:19.70;20,5;-11,23;-4,45;-18,5
01.01.2015;12:31:31.90;20,5;-24,30;7,01;-18,5
01.01.2015;12:41:44.90;20,5;-55,70;2,59;-18,5
01.01.2015;12:41:57.05;20,5;-36,52;33,37;-18,5
01.01.2015;12:52:09.99;20,5;21,71;-82,35;-18,5
01.01.2015;12:52:18.40;20,5;0,14;-83,73;-18,5
01.01.2015;13:02:31.40;20,5;-82,70;-12,58;-18,5
01.01.2015;13:02:39.70;20,5;-67,64;-5,52;-19,0
01.01.2015;13:12:52.70;20,5;-27,14;-44,48;-19,0
01.01.2015;13:13:01.05;20,5;-14,64;-21,32;-19,0
01.01.2015;13:23:13.99;20,5;30,94;-12,73;-19,0
01.01.2015;13:23:22.40;20,5;0,85;-12,58;-19,0
01.01.2015;13:30:44.55;20,5;-80,29;23,46;-19,0
01.01.2015;13:40:57.49;20,5;-20,61;-8,13;-19,0
01.01.2015;13:51:18.95;20,5;6,95;4,41;-19,0
01.01.2015;13:51:27.24;20,5;95,09;-13,80;-19,0
01.01.2015;14:01:40.24;20,5;-50,16;-23,47;-19,0
01.01.2015;14:12:01.70;20,5;-30,41;-25,77;-19,0
01.01.2015;14:12:10.12;20,5;-11,80;-24,54;-19,0
01.01.2015;14:22:23.10;20,5;-33,54;-23,16;-19,0
01.01.2015;14:22:35.24;20,5;-35,53;-54,29;-19,0
01.01.2015;14:32:48.32;20,5;-20,61;-21,16;-19,0
01.01.2015;14:32:56.68;20,5;-6,83;-29,45;-18,5
01.01.2015;14:43:05.82;20,5;-53,43;-15,95;-18,5
01.01.2015;14:53:27.13;20,5;6,66;-103,67;-18,5
01.01.2015;14:53:35.52;20,5;-9,80;-40,64;-18,5
01.01.2015;15:03:48.52;20,5;43,43;-16,11;-18,5
01.01.2015;15:03:56.82;20,5;46,69;-27,45;-18,5
01.01.2015;15:14:18.18;20,5;6,95;-23,01;-18,5
01.01.2015;15:32:08.02;20,5;-10,95;-29,45;-18,5
01.01.2015;15:32:20.16;20,5;2,41;-50,77;-18,5
01.01.2015;15:42:33.12;20,5;-4,27;4,57;-18,5
01.01.2015;15:42:41.52;20,5;0,14;-26,23;-18,5
01.01.2015;15:52:54.59;20,5;-7,39;-80,67;-18,5
01.01.2015;15:53:02.87;20,5;114,81;-19,63;-19,0
01.01.2015;16:03:15.91;20,5;145,47;-56,28;-19,0
01.01.2015;16:03:28.07;20,5;-105,02;-21,63;-19,0
01.01.2015;16:24:02.48;20,5;-54,57;-38,34;-19,5
01.01.2015;16:34:35.98;20,5;-10,80;3,05;-19,5
01.01.2015;16:44:48.98;20,5;80,47;-44,17;-19,5
01.01.2015;16:45:01.12;20,5;-9,80;22,70;-19,5
01.01.2015;16:55:22.48;20,5;50,24;-4,14;-19,5
01.01.2015;17:05:35.48;20,5;-4,98;7,92;-20,0
01.01.2015;17:05:43.77;20,5;25,40;-36,50;-20,0
01.01.2015;17:13:01.91;20,5;-80,29;23,01;-20,0
01.01.2015;17:13:14.07;20,5;-10,23;-22,24;-20,0
01.01.2015;17:23:23.27;20,5;-54,85;-46,01;-20,0
01.01.2015;17:23:35.48;20,5;-14,78;-18,87;-20,5
01.01.2015;22:56:54.95;20,5;-14,07;-9,20;-21,5
01.01.2015;22:57:07.15;20,5;-14,92;-13,50;-21,5
01.01.2015;23:07:16.27;20,5;-23,73;-15,95;-21,5
01.01.2015;23:07:28.41;20,5;-15,21;-9,05;-21,5
01.01.2015;23:17:37.65;20,5;-28,00;-16,56;-21,5
01.01.2015;23:38:24.15;20,5;-3,13;-20,25;-21,5
01.01.2015;23:59:11.65;20,5;-15,06;-15,34;-22,0
02.01.2015;00:19:58.15;20,5;-24,30;-17,34;-22,0
02.01.2015;00:20:10.30;20,5;3,69;-11,20;-22,0
02.01.2015;00:30:23.24;20,5;-34,96;-8,28;-22,0
02.01.2015;00:30:31.65;20,5;6,81;-16,26;-22,0
02.01.2015;00:38:14.40;20,5;-9,95;-18,56;-22,0
02.01.2015;00:48:35.74;20,5;-20,89;-17,80;-22,0
02.01.2015;00:48:44.15;20,5;-27,57;-12,88;-22,0
02.01.2015;00:58:57.15;20,5;-25,58;-7,37;-22,0
02.01.2015;00:59:05.45;20,5;-20,04;-13,20;-22,0
02.01.2015;01:09:14.65;20,5;-24,73;-11,66;-22,0
02.01.2015;01:09:26.80;20,5;-24,87;-11,81;-21,5
02.01.2015;01:19:35.95;20,5;-22,03;-10,89;-21,5
02.01.2015;01:19:44.29;20,5;-21,88;-11,35;-21,5
02.01.2015;01:30:05.65;20,5;-26,29;-10,89;-21,5
02.01.2015;01:40:18.65;20,5;-18,48;-12,58;-21,5
02.01.2015;01:40:26.95;20,5;-22,59;-11,51;-22,0
02.01.2015;01:50:39.95;20,5;-18,76;-9,52;-21,5
02.01.2015;01:50:52.15;20,5;-15,92;-12,88;-21,5
02.01.2015;02:01:01.24;20,5;-19,33;-12,42;-21,5
02.01.2015;02:11:22.65;20,5;-19,33;-9,97;-21,5
02.01.2015;02:30:19.43;20,5;-20,18;-18,41;-22,0
02.01.2015;02:40:32.45;20,5;-22,45;-10,74;-22,0
02.01.2015;02:40:44.65;20,5;-15,77;-11,35;-22,0
02.01.2015;02:50:53.74;20,5;-16,77;-10,13;-21,5
02.01.2015;03:01:27.30;20,5;-27,29;-12,12;-21,5
02.01.2015;03:11:40.24;20,5;-28,71;-17,34;-21,5
02.01.2015;03:11:48.65;20,5;-13,65;-14,27;-21,5
02.01.2015;03:21:57.74;20,5;-30,70;-15,49;-21,5
02.01.2015;03:22:09.90;20,5;-28,85;-11,66;-21,5
02.01.2015;03:32:31.30;20,5;-33,54;-2,46;-21,5
02.01.2015;03:42:44.24;20,5;-20,89;-12,73;-22,0
02.01.2015;03:53:17.79;20,5;-5,69;-14,42;-22,0
02.01.2015;04:03:39.15;20,5;-25,30;-14,42;-22,5
02.01.2015;04:13:48.24;20,5;-21,60;-15,34;-22,5
02.01.2015;04:14:00.40;20,5;-19,47;-10,89;-23,0
02.01.2015;04:32:43.45;20,5;-26,72;-15,19;-23,0
02.01.2015;04:42:56.45;20,5;-22,74;-11,51;-23,0
02.01.2015;04:43:08.65;20,5;-23,16;-12,12;-23,0
02.01.2015;04:53:21.65;20,5;-23,02;-14,27;-23,0
02.01.2015;04:53:33.80;20,5;-21,46;-9,97;-23,0
02.01.2015;05:34:58.45;20,5;-24,45;-9,20;-22,5
02.01.2015;05:35:10.65;20,5;-29,84;-14,42;-22,5
02.01.2015;05:45:23.65;20,5;-10,52;-16,11;-22,5
02.01.2015;05:45:31.95;20,5;-12,94;-19,48;-23,0
02.01.2015;05:55:44.95;20,5;-18,76;-14,11;-23,0
02.01.2015;05:55:57.15;20,5;-10,09;-15,19;-23,0
02.01.2015;06:06:10.15;20,5;-19,19;-10,74;-23,0
02.01.2015;06:14:24.80;20,5;-20,61;-12,27;-23,0
02.01.2015;06:24:33.95;20,5;-24,02;-17,34;-23,0
02.01.2015;06:24:46.15;20,5;-18,91;-14,11;-23,5
02.01.2015;06:35:07.40;20,5;-20,75;-21,16;-23,5
02.01.2015;06:45:16.65;20,5;-29,13;-14,11;-23,5
02.01.2015;06:45:28.80;20,5;-25,30;-13,66;-23,5
02.01.2015;06:55:41.74;20,5;-41,07;-15,19;-23,5
02.01.2015;06:55:53.90;20,5;-25,16;-12,27;-23,5
02.01.2015;07:06:06.95;20,5;-19,90;-7,37;-23,5
02.01.2015;07:16:28.24;20,5;-20,61;-11,05;-23,5
02.01.2015;07:16:40.40;20,5;-18,76;-13,04;-23,5
02.01.2015;07:26:53.45;20,5;-25,02;-9,05;-23,5
02.01.2015;07:47:39.95;20,5;-32,12;-11,66;-23,5
02.01.2015;07:47:52.15;20,5;-21,18;-7,98;-23,5
02.01.2015;07:58:05.15;20,5;-36,09;-10,89;-23,5
02.01.2015;07:58:13.45;20,5;-29,70;-11,51;-23,5
02.01.2015;08:06:39.30;20,5;-23,45;-11,51;-23,5
02.01.2015;08:16:48.45;20,5;-20,47;-11,81;-23,5
02.01.2015;08:17:00.65;20,5;-26,72;-12,58;-23,5
02.01.2015;08:27:09.74;20,5;-26,86;-12,12;-23,5
02.01.2015;08:27:21.90;20,5;-24,02;-11,20;-23,5
02.01.2015;08:37:44.30;20,5;-13,79;-17,18;-23,5
02.01.2015;08:58:18.66;20,5;-23,73;-12,58;-24,0
02.01.2015;09:08:40.15;20,5;-24,16;-9,82;-24,0
02.01.2015;09:08:52.30;20,5;-27,29;-11,35;-24,0
02.01.2015;09:19:01.45;20,5;-27,71;-10,89;-24,0
02.01.2015;09:19:13.65;20,5;-26,58;-10,89;-24,0
02.01.2015;09:29:22.74;20,5;-25,16;-15,34;-24,0
02.01.2015;09:39:56.30;20,5;-26,58;-11,97;-24,0
02.01.2015;10:09:26.30;20,5;-32,55;-6,14;-24,0
02.01.2015;10:19:35.45;20,5;-27,29;-4,30;-24,0
02.01.2015;10:29:56.74;20,5;-27,85;-3,84;-23,5
02.01.2015;10:30:05.15;20,5;-19,33;-2,91;-23,5
02.01.2015;10:40:18.15;20,5;-26,44;-2,91;-23,5
02.01.2015;11:01:04.65;20,5;-26,44;5,33;-23,0
02.01.2015;11:11:25.95;20,5;-43,77;13,41;-23,0
02.01.2015;11:11:38.15;20,5;-44,63;15,54;-22,5
02.01.2015;11:21:51.15;20,5;-55,42;21,02;-22,5
02.01.2015;11:21:59.45;20,5;-58,83;20,27;-22,0
02.01.2015;11:42:34.74;20,5;-66,93;38,40;-21,5
02.01.2015;11:42:46.90;20,5;-70,34;38,70;-21,5
02.01.2015;11:51:18.30;20,5;-92,23;51,35;-21,5
02.01.2015;11:51:30.45;20,5;-91,94;50,28;-21,0
02.01.2015;12:01:44.45;20,5;-116,38;55,92;-21,0
02.01.2015;12:01:52.80;20,5;-117,23;56,68;-20,5
02.01.2015;12:12:14.15;20,5;-134,57;58,51;-20,5
02.01.2015;12:32:48.45;20,5;-89,66;50,44;-20,0
02.01.2015;12:33:00.65;20,5;-88,95;50,13;-20,0
02.01.2015;12:43:13.65;20,5;-61,53;33,06;-19,5
02.01.2015;12:53:34.95;20,5;-46,33;9,59;-19,5
02.01.2015;12:53:47.15;20,5;-45,90;9,45;-19,5
02.01.2015;13:04:00.15;20,5;-40,50;-7,21;-19,5
02.01.2015;13:35:23.90;20,5;-31,69;-25,77;-19,0
02.01.2015;13:44:00.09;20,5;-20,47;-23,93;-19,0
02.01.2015;13:54:13.15;20,5;-16,63;-26,99;-19,0
02.01.2015;13:54:25.30;20,5;-16,63;-27,91;-18,5
02.01.2015;14:04:39.24;20,5;-15,77;-24,54;-18,5
02.01.2015;14:04:51.40;20,5;-14,50;-25,30;-18,0
02.01.2015;14:15:12.80;20,5;-9,66;-22,55;-18,0
02.01.2015;19:09:31.27;20,5;-28,71;-8,28;-22,0
02.01.2015;19:09:44.43;20,5;-28,56;-8,13;-22,0
02.01.2015;19:20:05.93;20,5;-27,85;-9,05;-22,5
02.01.2015;19:21:51.21;20,5;-27,85;-8,74;-22,5
02.01.2015;19:42:38.77;20,5;-28,00;-9,05;-22,5
02.01.2015;19:42:47.07;20,5;-27,14;-10,13;-22,5
02.01.2015;19:53:00.07;20,5;-25,16;-9,82;-22,5
02.01.2015;19:53:12.27;20,5;-29,56;-9,97;-22,5
02.01.2015;20:13:46.57;20,5;-29,41;-9,20;-22,5
02.01.2015;20:34:33.07;20,5;-28,28;-10,28;-22,5
02.01.2015;20:34:41.43;20,5;-28,42;-10,28;-22,5
02.01.2015;20:44:50.77;20,5;-27,29;-9,97;-22,5
02.01.2015;20:55:12.27;20,5;-28,14;-9,52;-22,5
02.01.2015;20:55:20.57;20,5;-28,42;-10,13;-23,0
02.01.2015;21:05:33.57;20,5;-27,71;-10,59;-23,0
02.01.2015;21:05:41.91;20,5;-28,56;-11,35;-23,0
02.01.2015;21:25:09.82;20,5;-29,41;-8,28;-23,0
02.01.2015;21:25:18.21;20,5;-29,13;-9,97;-23,0
02.01.2015;21:35:27.32;20,5;-28,85;-9,66;-23,0
02.01.2015;21:56:27.05;20,5;-22,74;-8,59;-23,5
02.01.2015;22:06:36.27;20,5;-27,00;-8,90;-23,5
02.01.2015;22:06:44.57;20,5;-28,14;-8,13;-24,0
02.01.2015;22:16:57.57;20,5;-28,00;-8,59;-24,0
02.01.2015;22:17:09.77;20,5;-28,00;-9,36;-24,0
02.01.2015;22:27:22.77;20,5;-29,56;-9,20;-24,0
02.01.2015;22:27:31.21;20,5;-28,85;-9,52;-24,0
02.01.2015;22:37:44.27;20,5;-28,00;-10,74;-24,0
